Day,Market Name,Order Count,Revenue
2018-09-01T00:00:00.000-04:00,"Chicago, IL",13,4380.5
2018-09-11T00:00:00.000-04:00,"Chicago, IL",1,99
2018-09-18T00:00:00.000-04:00,"Chicago, IL",1,347.5
2018-09-20T00:00:00.000-04:00,"Chicago, IL",2,262
2018-09-22T00:00:00.000-04:00,"Chicago, IL",1,338
2018-09-23T00:00:00.000-04:00,"Chicago, IL",1,64
2018-09-26T00:00:00.000-04:00,"Chicago, IL",2,248
2018-10-08T00:00:00.000-04:00,"Chicago, IL",2,380
2018-10-13T00:00:00.000-04:00,"Chicago, IL",1,355.25
2018-10-16T00:00:00.000-04:00,"Chicago, IL",1,59
2018-10-22T00:00:00.000-04:00,"Chicago, IL",1,123.75
2018-10-23T00:00:00.000-04:00,"Chicago, IL",1,198
2018-10-24T00:00:00.000-04:00,"Chicago, IL",1,148.5
2018-10-27T00:00:00.000-04:00,"Chicago, IL",2,218
2018-11-10T00:00:00.000-05:00,"Chicago, IL",1,190.75
2018-11-13T00:00:00.000-05:00,"Chicago, IL",1,338
2018-12-05T00:00:00.000-05:00,"Chicago, IL",1,99
2018-12-11T00:00:00.000-05:00,"Chicago, IL",2,372
2018-12-12T00:00:00.000-05:00,"Chicago, IL",1,258
2018-12-14T00:00:00.000-05:00,"Chicago, IL",2,222.75
2018-12-15T00:00:00.000-05:00,"Chicago, IL",1,318
2018-12-19T00:00:00.000-05:00,"Chicago, IL",1,337
2018-12-30T00:00:00.000-05:00,"Chicago, IL",1,121
2018-12-31T00:00:00.000-05:00,"Chicago, IL",1,211.5
2019-01-05T00:00:00.000-05:00,"Chicago, IL",1,286
2019-01-06T00:00:00.000-05:00,"Chicago, IL",1,380.75
2019-01-14T00:00:00.000-05:00,"Chicago, IL",1,94
2019-01-16T00:00:00.000-05:00,"Chicago, IL",1,188
2019-01-19T00:00:00.000-05:00,"Chicago, IL",1,240
2019-01-21T00:00:00.000-05:00,"Chicago, IL",1,188
2019-01-22T00:00:00.000-05:00,"Chicago, IL",1,238
2019-01-23T00:00:00.000-05:00,"Chicago, IL",1,164.5
2019-02-07T00:00:00.000-05:00,"Chicago, IL",1,387.25
2019-02-09T00:00:00.000-05:00,"Chicago, IL",1,104
2019-02-13T00:00:00.000-05:00,"Chicago, IL",1,319
2019-01-17T00:00:00.000-05:00,Miami FL,2,560.25
2019-01-21T00:00:00.000-05:00,Miami FL,2,531.25
2019-01-28T00:00:00.000-05:00,Miami FL,2,1060
2019-01-30T00:00:00.000-05:00,Miami FL,2,1237.25
2019-01-31T00:00:00.000-05:00,Miami FL,3,1877
2019-02-01T00:00:00.000-05:00,Miami FL,2,487.5
2019-02-02T00:00:00.000-05:00,Miami FL,1,417
2019-02-07T00:00:00.000-05:00,Miami FL,1,826.75
2019-02-12T00:00:00.000-05:00,Miami FL,1,937
2019-01-09T00:00:00.000-05:00,"Miami, FL",1,158
2019-01-11T00:00:00.000-05:00,"Miami, FL",1,248
2019-01-15T00:00:00.000-05:00,"Miami, FL",1,355.5
2019-01-18T00:00:00.000-05:00,"Miami, FL",1,84
2019-01-26T00:00:00.000-05:00,"Miami, FL",1,317
2019-02-04T00:00:00.000-05:00,"Miami, FL",1,158
2019-02-05T00:00:00.000-05:00,"Miami, FL",1,79
2019-02-13T00:00:00.000-05:00,"Miami, FL",1,79
2019-02-14T00:00:00.000-05:00,"Miami, FL",1,276.5
2018-09-18T00:00:00.000-04:00,Orlando FL,1,636
2018-09-20T00:00:00.000-04:00,Orlando FL,3,1077.75
2018-09-22T00:00:00.000-04:00,Orlando FL,2,1636
2018-09-23T00:00:00.000-04:00,Orlando FL,3,552.75
2018-09-28T00:00:00.000-04:00,Orlando FL,2,1138
2018-09-29T00:00:00.000-04:00,Orlando FL,2,1479.25
2018-09-30T00:00:00.000-04:00,Orlando FL,2,709.5
2018-10-01T00:00:00.000-04:00,Orlando FL,2,1351.25
2018-10-04T00:00:00.000-04:00,Orlando FL,2,485.5
2018-10-05T00:00:00.000-04:00,Orlando FL,2,547
2018-10-08T00:00:00.000-04:00,Orlando FL,2,530.75
2018-10-11T00:00:00.000-04:00,Orlando FL,2,973.5
2018-10-12T00:00:00.000-04:00,Orlando FL,3,1598.5
2018-10-13T00:00:00.000-04:00,Orlando FL,1,1500
2018-10-14T00:00:00.000-04:00,Orlando FL,3,655
2018-10-15T00:00:00.000-04:00,Orlando FL,1,900
2018-10-17T00:00:00.000-04:00,Orlando FL,3,1547.5
2018-10-18T00:00:00.000-04:00,Orlando FL,2,1472.5
2018-10-19T00:00:00.000-04:00,Orlando FL,3,2228
2018-10-20T00:00:00.000-04:00,Orlando FL,3,1630.75
2018-10-21T00:00:00.000-04:00,Orlando FL,2,973.5
